Time [s], O2 [raw], CO2 [ppm], Caliper [deg C], Disk[deg C], Ambient [deg C],
36.0, 0.0, 4530.0, 42.250, 38.940, 39.970, 
37.0, 0.0, 4530.0, 42.250, 38.869, 39.949, 
37.0, 0.0, 4530.0, 42.250, 38.929, 39.970, 
37.0, 0.0, 4530.0, 42.250, 38.879, 39.970, 
38.0, 0.0, 4437.0, 42.250, 38.860, 39.970, 
38.0, 0.0, 4344.0, 42.250, 38.929, 39.979, 
39.0, 0.0, 4344.0, 42.250, 38.949, 39.989, 
39.0, 0.0, 4344.0, 42.250, 38.869, 39.950, 
39.0, 0.0, 4344.0, 42.250, 38.879, 39.970, 
40.0, 0.0, 4344.0, 42.250, 38.889, 39.949, 
40.0, 0.0, 4134.0, 42.250, 38.909, 39.950, 
40.0, 0.0, 4134.0, 42.250, 38.899, 39.959, 
41.0, 0.0, 4134.0, 42.250, 38.860, 39.990, 
41.0, 0.0, 4134.0, 42.250, 38.919, 39.990, 
41.0, 0.0, 4134.0, 42.250, 38.879, 39.980, 
42.0, 0.0, 4024.500, 42.250, 38.940, 39.989, 
42.0, 0.0, 3915.0, 42.250, 38.909, 39.960, 
43.0, 0.0, 3915.0, 42.250, 38.910, 39.979, 
43.0, 0.0, 3915.0, 42.250, 38.919, 39.960, 
43.0, 0.0, 3915.0, 42.250, 38.940, 39.990, 
44.0, 0.0, 3915.0, 42.250, 39.9, 40.0, 
44.0, 0.0, 3695.0, 42.250, 38.940, 40.9, 
44.0, 0.0, 3695.0, 42.250, 38.880, 40.0, 
45.0, 0.0, 3695.0, 42.250, 38.869, 39.970, 
45.0, 0.0, 3695.0, 42.250, 38.869, 39.979, 
45.0, 0.0, 3695.0, 42.250, 38.970, 40.0, 
46.0, 0.0, 3587.0, 42.250, 38.950, 39.979, 
46.0, 0.0, 3479.0, 42.250, 38.959, 39.979, 
47.0, 0.0, 3479.0, 42.250, 38.879, 39.990, 
47.0, 0.0, 3479.0, 42.250, 38.940, 39.990, 
47.0, 0.0, 3479.0, 42.250, 38.919, 40.0, 
48.0, 0.0, 3479.0, 42.250, 38.889, 40.0, 
48.0, 0.0, 3291.0, 42.250, 38.869, 39.979, 
48.0, 0.0, 3291.0, 42.250, 38.910, 40.9, 
49.0, 0.0, 3291.0, 42.250, 38.909, 40.19, 
49.0, 0.0, 3291.0, 42.250, 38.919, 39.979, 
50.0, 0.0, 3291.0, 42.250, 38.949, 40.10, 
50.0, 0.0, 3193.0, 42.250, 38.980, 40.9, 
50.0, 0.0, 3095.0, 42.250, 38.929, 40.0, 
51.0, 0.0, 3095.0, 42.250, 38.899, 40.39, 
51.0, 0.0, 3095.0, 42.250, 38.940, 39.989, 
51.0, 0.0, 3095.0, 42.250, 38.940, 40.40, 
52.0, 0.0, 3095.0, 42.250, 38.889, 40.9, 
52.0, 0.0, 2879.0, 42.250, 38.899, 40.19, 
52.0, 0.0, 2879.0, 42.250, 38.910, 40.0, 
53.0, 0.0, 2879.0, 42.250, 38.900, 39.990, 
53.0, 0.0, 2879.0, 42.250, 38.889, 39.989, 
54.0, 0.0, 2879.0, 42.125, 38.919, 40.0, 
54.0, 0.0, 2792.500, 42.250, 38.929, 40.0, 
54.0, 0.0, 2706.0, 42.250, 38.929, 40.29, 
55.0, 0.0, 2706.0, 42.250, 38.830, 39.970, 
55.0, 0.0, 2706.0, 42.250, 38.889, 39.990, 
