Time [s], O2 [raw], CO2 [ppm], Caliper [deg C], Disk[deg C], Ambient [deg C],
37.0, 0.0, 1381.0, 16.750, 16.630, 16.199, 
37.0, 0.0, 1381.0, 16.750, 16.589, 16.170, 
37.0, 0.0, 1381.0, 16.750, 16.639, 16.230, 
38.0, 0.0, 1381.0, 16.750, 16.649, 16.220, 
38.0, 0.0, 1381.0, 16.750, 16.589, 16.239, 
38.0, 0.0, 1381.500, 16.750, 16.660, 16.250, 
39.0, 0.0, 1382.0, 16.750, 16.660, 16.230, 
39.0, 0.0, 1382.0, 16.750, 16.580, 16.190, 
39.0, 0.0, 1382.0, 16.750, 16.580, 16.260, 
40.0, 0.0, 1382.0, 16.750, 16.589, 16.269, 
40.0, 0.0, 1382.0, 16.750, 16.610, 16.250, 
41.0, 0.0, 1387.0, 16.750, 16.639, 16.239, 
41.0, 0.0, 1387.0, 16.750, 16.610, 16.199, 
41.0, 0.0, 1387.0, 16.750, 16.669, 16.289, 
42.0, 0.0, 1387.0, 16.750, 16.660, 16.229, 
42.0, 0.0, 1387.0, 16.625, 16.649, 16.250, 
42.0, 0.0, 1391.0, 16.750, 16.649, 16.279, 
43.0, 0.0, 1395.0, 16.750, 16.730, 16.270, 
43.0, 0.0, 1395.0, 16.750, 16.770, 16.289, 
43.0, 0.0, 1395.0, 16.750, 16.660, 16.309, 
44.0, 0.0, 1395.0, 16.750, 16.639, 16.250, 
44.0, 0.0, 1395.0, 16.750, 16.639, 16.279, 
45.0, 0.0, 1405.0, 16.750, 16.720, 16.289, 
45.0, 0.0, 1405.0, 16.750, 16.779, 16.250, 
45.0, 0.0, 1405.0, 16.750, 16.760, 16.299, 
46.0, 0.0, 1405.0, 16.750, 16.779, 16.319, 
46.0, 0.0, 1405.0, 16.750, 16.669, 16.270, 
46.0, 0.0, 1410.0, 16.750, 16.779, 16.309, 
47.0, 0.0, 1415.0, 16.750, 16.710, 16.290, 
47.0, 0.0, 1415.0, 16.750, 16.750, 16.339, 
47.0, 0.0, 1415.0, 16.750, 16.750, 16.339, 
48.0, 0.0, 1415.0, 16.750, 16.660, 16.289, 
48.0, 0.0, 1415.0, 16.750, 16.779, 16.349, 
49.0, 0.0, 1447.0, 16.750, 16.710, 16.319, 
49.0, 0.0, 1447.0, 16.750, 16.740, 16.349, 
49.0, 0.0, 1447.0, 16.750, 16.680, 16.330, 
50.0, 0.0, 1447.0, 16.750, 16.690, 16.329, 
50.0, 0.0, 1447.0, 16.750, 16.730, 16.350, 
50.0, 0.0, 10000.0, 16.750, 16.690, 16.369, 
51.0, 0.0, 1471.0, 16.750, 16.740, 16.329, 
51.0, 0.0, 1471.0, 16.750, 16.790, 16.360, 
52.0, 0.0, 1471.0, 16.750, 16.730, 16.339, 
52.0, 0.0, 1471.0, 16.750, 16.770, 16.370, 
52.0, 0.0, 1481.0, 16.750, 16.789, 16.360, 
53.0, 0.0, 1491.0, 16.750, 16.790, 16.369, 
53.0, 0.0, 1491.0, 16.750, 16.789, 16.329, 
53.0, 0.0, 1491.0, 16.750, 16.840, 16.389, 
54.0, 0.0, 1491.0, 16.750, 16.750, 16.370, 
54.0, 0.0, 1491.0, 16.750, 16.790, 16.390, 
55.0, 0.0, 1521.0, 16.750, 16.789, 16.370, 
55.0, 0.0, 1521.0, 16.750, 16.740, 16.370, 
55.0, 0.0, 1521.0, 16.750, 16.800, 16.410, 
56.0, 0.0, 1521.0, 16.750, 16.760, 16.369, 
56.0, 0.0, 1521.0, 16.750, 16.770, 16.380, 
56.0, 0.0, 1535.0, 16.750, 16.740, 16.380, 
57.0, 0.0, 1549.0, 16.750, 16.750, 16.370, 
57.0, 0.0, 1549.0, 16.750, 16.890, 16.410, 
57.0, 0.0, 1549.0, 16.750, 16.889, 16.449, 
58.0, 0.0, 1549.0, 16.750, 16.809, 16.380, 
58.0, 0.0, 1549.0, 16.750, 16.809, 16.400, 
59.0, 0.0, 1599.0, 16.750, 16.809, 16.370, 
59.0, 0.0, 1599.0, 16.750, 16.850, 16.429, 
59.0, 0.0, 1599.0, 16.750, 16.779, 16.419, 
60.0, 0.0, 1599.0, 16.750, 16.789, 16.440, 
60.0, 0.0, 1599.0, 16.750, 16.850, 16.410, 
60.0, 0.0, 1626.500, 16.750, 16.820, 16.410, 
61.0, 0.0, 1654.0, 16.750, 16.839, 16.460, 
61.0, 0.0, 1654.0, 16.750, 16.809, 16.399, 
61.0, 0.0, 1654.0, 16.750, 16.880, 16.430, 
62.0, 0.0, 1654.0, 16.750, 16.830, 16.419, 
62.0, 0.0, 1654.0, 16.750, 16.809, 16.410, 
63.0, 0.0, 1706.0, 16.750, 16.870, 16.460, 
63.0, 0.0, 1706.0, 16.750, 16.889, 16.450, 
63.0, 0.0, 1706.0, 16.750, 16.930, 16.410, 
64.0, 0.0, 1706.0, 16.750, 16.880, 16.429, 
64.0, 0.0, 1706.0, 16.750, 16.889, 16.540, 
64.0, 0.0, 10000.0, 16.750, 16.850, 16.470, 
65.0, 0.0, 1755.0, 16.750, 16.839, 16.419, 
65.0, 0.0, 1755.0, 16.750, 16.870, 16.440, 
66.0, 0.0, 1755.0, 16.750, 16.869, 16.470, 
66.0, 0.0, 1755.0, 16.750, 16.870, 16.480, 
66.0, 0.0, 1783.500, 16.750, 16.850, 16.480, 
67.0, 0.0, 1812.0, 16.750, 16.880, 16.460, 
67.0, 0.0, 1812.0, 16.750, 16.900, 16.470, 
67.0, 0.0, 1812.0, 16.750, 16.839, 16.490, 
68.0, 0.0, 1812.0, 16.750, 16.839, 16.460, 
68.0, 0.0, 1812.0, 16.750, 16.870, 16.470, 
69.0, 0.0, 1860.0, 16.750, 16.949, 16.539, 
69.0, 0.0, 1860.0, 16.750, 16.840, 16.500, 
69.0, 0.0, 1860.0, 16.750, 16.880, 16.529, 
70.0, 0.0, 1860.0, 16.750, 16.860, 16.520, 
70.0, 0.0, 1860.0, 16.750, 16.850, 16.500, 
70.0, 0.0, 1875.500, 16.750, 16.900, 16.529, 
71.0, 0.0, 1891.0, 16.750, 16.970, 16.630, 
71.0, 0.0, 1891.0, 16.750, 16.890, 16.549, 
71.0, 0.0, 1891.0, 16.750, 16.910, 16.510, 
72.0, 0.0, 1891.0, 16.750, 16.900, 16.540, 
72.0, 0.0, 1891.0, 16.750, 16.910, 16.549, 
73.0, 0.0, 1947.0, 16.750, 16.900, 16.569, 
73.0, 0.0, 1947.0, 16.750, 16.890, 16.569, 
73.0, 0.0, 1947.0, 16.750, 16.919, 16.529, 
74.0, 0.0, 1947.0, 16.750, 16.910, 16.559, 
74.0, 0.0, 1947.0, 16.750, 17.0, 16.579, 
74.0, 0.0, 10000.0, 16.750, 16.890, 16.529, 
75.0, 0.0, 2021.0, 16.750, 16.949, 16.529, 
75.0, 0.0, 2021.0, 16.875, 16.920, 16.539, 
76.0, 0.0, 2021.0, 16.750, 16.940, 16.550, 
76.0, 0.0, 2021.0, 16.750, 16.970, 16.580, 
76.0, 0.0, 2055.500, 16.875, 16.970, 16.539, 
77.0, 0.0, 2090.0, 16.750, 16.930, 16.599, 
77.0, 0.0, 2090.0, 16.750, 16.900, 16.569, 
77.0, 0.0, 2090.0, 16.750, 16.970, 16.580, 
78.0, 0.0, 2090.0, 16.750, 16.960, 16.589, 
78.0, 0.0, 6045.0, 16.750, 17.0, 16.609, 
79.0, 0.0, 2159.0, 16.750, 16.930, 16.579, 
79.0, 0.0, 2159.0, 16.750, 16.989, 16.619, 
80.0, 0.0, 2159.0, 16.750, 17.19, 16.589, 
80.0, 0.0, 2159.0, 16.750, 16.869, 16.589, 
80.0, 0.0, 10000.0, 16.750, 17.10, 16.649, 
81.0, 0.0, 2209.0, 16.750, 17.20, 16.639, 
81.0, 0.0, 2209.0, 16.875, 16.979, 16.580, 
82.0, 0.0, 2209.0, 16.750, 16.949, 16.619, 
82.0, 0.0, 2209.0, 16.750, 16.960, 16.630, 
82.0, 0.0, 2225.500, 16.750, 16.900, 16.569, 
83.0, 0.0, 2242.0, 16.750, 16.979, 16.589, 
83.0, 0.0, 2242.0, 16.750, 17.0, 16.650, 
83.0, 0.0, 2242.0, 16.750, 16.970, 16.619, 
84.0, 0.0, 2242.0, 16.750, 16.960, 16.639, 
