Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Received message 1. Received message 2. Received message 3. Received message 4. Received message 5. Received message 6. Calibration complete! Offset is: 513 Hz.  GPS lost
0:0:0, 10286.0019683, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8898, 28.9311, 
0:0:0, 11191.0021438, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8898, 28.9311, 
0:0:0, 12094.0023193, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8457, 28.9311, 
0:0:0, 12997.0023803, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8898, 29.1517, 
0:0:0, 13900.0025024, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 1.0499999, 0, 0, 0, 0, 9.8898, 28.9311, 
0:0:0, 14807.0027465, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -2125.200325, 0, 0, 0, 0, 9.8898, 28.9311, 
0:0:0, 15720.0029907, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 28.9311, 
0:0:0, 16624.0029907, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.7643, 28.9311, 
0:0:0, 18378.0034484, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 1.0499999, 0, 0, 0, 0, 9.8080, 29.1517, 
0:0:0, 19284.0039215, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1580.2502136, 0, 0, 0, 0, 9.8080, 28.9311, 
0:0:0, 20193.0039138, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 1.0499999, 0, 0, 0, 0, 9.8457, 28.9311, 
0:0:0, 21105.0040969, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1373.400238, 0, 0, 0, 0, 9.8080, 28.9311, 
0:0:0, 22012.0042724, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 1.0499999, 0, 0, 0, 0, 9.8080, 29.1517, 
0:0:0, 22929.0043334, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1158.1502151, 0, 0, 0, 0, 9.8080, 29.1517, 
0:0:0, 23837.0044555, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 1.0499999, 0, 0, 0, 0, 9.8898, 28.9311, 
0:0:0, 24743.0046997, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 28.9311, 
0:0:0, 25656.0049438, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -969.1500854, 0, 0, 0, 0, 9.8080, 28.9311, 
0:0:0, 27177.0053787, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 2908.5004272, 0, 0, 0, 0, 9.8080, 28.9311, 
0:0:0, 27783.0054321, 0, 0.0, 0, 33.6242904, 137.088005, 0, 0, 0, -1371.3002624, 0, 0, 0, 0, 9.8080, 28.9311, 
0:0:0, 28638.0054321, 0, 0.0, 0, 35.9716681, 137.088005, 0, 0, 0, 79.800003, 0, 0, 0, 0, 9.8080, 29.1517, 
0:0:0, 30245.0058746, 0, 0.0, 0, 38.4038429, 137.088005, 0, 0, 0, 44.0999984, 0, 0, 0, 0, 9.8898, 28.9311, 
0:0:0, 30990.0059204, 0, 0.0, 0, 40.8348121, 137.088005, 0, 0, 0, 94.5, 0, 0, 0, 0, 9.8080, 28.9311, 
0:0:0, 31684.0061035, 0, 0.0, 0, 44.1031723, 137.088005, 0, 0, 0, 136.5000076, 0, 0, 0, 0, 9.8080, 28.9311, 
0:0:0, 32959.0062866, 0, 0.0, 0, 49.1126174, 137.088005, 0, 0, 0, 101.850006, 0, 0, 0, 0, 9.7643, 28.9311, 
0:0:0, 34174.0065994, 0, 0.0, 0, 48.9713859, 137.088005, 0, 0, 0, -59.8499984, 0, 0, 0, 0, 9.8080, 29.1517, 
0:0:0, 34799.0066528, 0, 0.0, 0, 47.8768081, 137.088005, 0, 0, 0, -50.4000015, 0, 0, 0, 0, 9.8080, 29.943, 
0:0:0, 36088.0068359, 0, 0.0, 0, 45.9793319, 137.088005, 0, 0, 0, -46.2000007, 0, 0, 0, 0, 9.8080, 28.9311, 
0:0:0, 36754.0068969, 0, 0.0, 0, 45.0578231, 137.088005, 0, 0, 0, -39.9000014, 0, 0, 0, 0, 9.7643, 28.9311, 
0:0:0, 38128.0073318, 0, 0.0, 0, 43.1712837, 137.088005, 0, 0, 0, -39.9000014, 0, 0, 0, 0, 9.8898, 28.9311, 
0:0:0, 38840.0073852, 0, 0.0, 0, 42.1321907, 137.088005, 0, 0, 0, -42, 0, 0, 0, 0, 9.8080, 29.943, 
0:0:0, 40314.007843, 0, 0.0, 0, 40.1834335, 137.088005, 0, 0, 0, -37.7999992, 0, 0, 0, 0, 9.8080, 29.943, 
0:0:0, 41080.0079956, 0, 0.0, 0, 39.1126747, 137.088005, 0, 0, 0, -39.9000014, 0, 0, 0, 0, 9.8080, 28.9311, 
0:0:0, 41866.0080566, 0, 0.0, 0, 38.1214256, 137.088005, 0, 0, 0, -36.75, 0, 0, 0, 0, 9.8080, 29.943, 
0:0:0, 42675.0082397, 0, 0.0, 0, 37.0981864, 137.088005, 0, 0, 0, -36.75, 0, 0, 0, 0, 9.8080, 28.9311, 
0:0:0, 44357.0085754, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 2838.1503295, 0, 0, 0, 0, 9.8080, 29.943, 
0:0:0, 45248.0088043, 0, 0.0, 0, 33.8944091, 137.088005, 0, 0, 0, -964.9500732, 0, 0, 0, 0, 9.7643, 29.943, 
