Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Calibration timed-out...Offset is set as default: 507 Hz GPS lost
0:0:0, 18958.003479, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8898, 25.7843, 
0:0:0, 19858.0039672, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8898, 25.7843, 
0:0:0, 19916.0039672, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8898, 25.7843, 
0:0:0, 20819.0039672, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8898, 25.5550, 
0:0:0, 20872.0039672, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 21776.0041503, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 25.7843, 
0:0:0, 21828.0041503, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8898, 25.5550, 
0:0:0, 22737.0043334, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8898, 25.5550, 
0:0:0, 22800.0043334, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8898, 25.5550, 
0:0:0, 23704.0044555, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 23756.0044555, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8898, 25.5550, 
0:0:0, 24660.0046997, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 24719.0046997, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8898, 25.7843, 
0:0:0, 25623.0049438, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 25.7843, 
0:0:0, 25676.0049438, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 26579.0049133, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 26632.0049438, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 27543.0054016, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 27595.0054016, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 28499.0054016, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8457, 25.5550, 
0:0:0, 28549.0054016, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 29433.0058898, 0, 0.0, 0, 28.9399814, 137.088005, 0, 0, 0, 175.3500137, 0, 0, 0, 0, 9.8898, 25.5550, 
0:0:0, 29496.0058898, 0, 0.0, 0, 28.9399814, 137.088005, 0, 0, 0, 175.3500137, 0, 0, 0, 0, 9.8898, 25.5550, 
0:0:0, 30325.0058898, 0, 0.0, 0, 34.5611343, 137.088005, 0, 0, 0, 42, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 30379.0058898, 0, 0.0, 0, 34.5611343, 137.088005, 0, 0, 0, 42, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 31188.0060501, 0, 0.0, 0, 35.114479, 137.088005, 0, 0, 0, 4.1999998, 0, 0, 0, 0, 9.8898, 25.5550, 
0:0:0, 31244.0060577, 0, 0.0, 0, 35.114479, 137.088005, 0, 0, 0, 4.1999998, 0, 0, 0, 0, 9.8898, 25.5550, 
0:0:0, 32071.0062255, 0, 0.0, 0, 33.8006515, 137.088005, 0, 0, 0, -9.4499997, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 32128.0062332, 0, 0.0, 0, 33.8006515, 137.088005, 0, 0, 0, -9.4499997, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 32987.0062866, 0, 0.0, 0, 32.6548118, 137.088005, 0, 0, 0, -8.3999996, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 33894.0064086, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -464.1000366, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 33947.0064086, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -464.1000366, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 34857.0066528, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.7643, 25.5550, 
0:0:0, 34907.0066528, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8898, 25.5550, 
0:0:0, 35808.0068969, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 25.7843, 
0:0:0, 35857.0068969, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 36489.0068664, 0, 0.0, 0, 28.1770782, 137.088005, 0, 0, 0, 179.5500106, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 36551.0068664, 0, 0.0, 0, 28.1770782, 137.088005, 0, 0, 0, 179.5500106, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 37459.0073547, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -349.6500243, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 37513.0073547, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -349.6500243, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 38038.0073242, 0, 0.0, 0, 32.0063629, 137.088005, 0, 0, 0, 213.1500091, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 38802.0073852, 0, 0.0, 0, 41.5131568, 137.088005, 0, 0, 0, 82.9499969, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 38864.0073852, 0, 0.0, 0, 41.5131568, 137.088005, 0, 0, 0, 82.9499969, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 39474.007843, 0, 0.0, 0, 45.5800552, 137.088005, 0, 0, 0, 39.9000014, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 39530.007843, 0, 0.0, 0, 45.5800552, 137.088005, 0, 0, 0, 39.9000014, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 40087.0078124, 0, 0.0, 0, 50.461235, 137.088005, 0, 0, 0, 53.5499992, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 40143.0078201, 0, 0.0, 0, 50.461235, 137.088005, 0, 0, 0, 53.5499992, 0, 0, 0, 0, 9.8080, 25.7843, 
0:0:0, 40663.0078735, 0, 0.0, 0, 53.1117668, 137.088005, 0, 0, 0, 30.4500007, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 41202.0080108, 0, 0.0, 0, 56.2842063, 137.088005, 0, 0, 0, 38.8499984, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 41259.0080108, 0, 0.0, 0, 56.2842063, 137.088005, 0, 0, 0, 38.8499984, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 41713.0080566, 0, 0.0, 0, 59.8273582, 137.088005, 0, 0, 0, 46.2000007, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 42205.0081939, 0, 0.0, 0, 61.8386459, 137.088005, 0, 0, 0, 27.2999992, 0, 0, 0, 0, 9.7643, 25.5550, 
0:0:0, 42267.0081939, 0, 0.0, 0, 61.8386459, 137.088005, 0, 0, 0, 27.2999992, 0, 0, 0, 0, 9.7643, 25.5550, 
0:0:0, 42685.0082397, 0, 0.0, 0, 62.3612251, 137.088005, 0, 0, 0, 6.3000001, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 43152.0083084, 0, 0.0, 0, 65.1192092, 137.088005, 0, 0, 0, 38.8499984, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 43209.008316, 0, 0.0, 0, 65.1192092, 137.088005, 0, 0, 0, 38.8499984, 0, 0, 0, 0, 9.8898, 25.5550, 
0:0:0, 43606.0083618, 0, 0.0, 0, 66.6625289, 137.088005, 0, 0, 0, 22.0499992, 0, 0, 0, 0, 9.8080, 25.5550, 
0:0:0, 44046.0085449, 0, 0.0, 0, 69.3017272, 137.088005, 0, 0, 0, 39.9000014, 0, 0, 0, 0, 9.8080, 25.5550, 
