Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Received message 1. Received message 2. Received message 3. Received message 4. Received message 5. Received message 6. Calibration complete! Offset is: 508 Hz.  GPS lost
0:0:0, 28282.0053863, 0, 0.0, 0, 45.9602355, 137.088005, 0, 0, 0, -15.75, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 28338.0054016, 0, 0.0, 0, 45.9602355, 137.088005, 0, 0, 0, -15.75, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 28950.0054321, 0, 0.0, 0, 45.0222511, 137.088005, 0, 0, 0, -18.8999996, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 29011.0058593, 0, 0.0, 0, 45.0222511, 137.088005, 0, 0, 0, -18.8999996, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 29631.0059204, 0, 0.0, 0, 43.9630355, 137.088005, 0, 0, 0, -19.9500007, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 30326.0058898, 0, 0.0, 0, 43.0557098, 137.088005, 0, 0, 0, -16.7999992, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 30384.0058898, 0, 0.0, 0, 43.0557098, 137.088005, 0, 0, 0, -16.7999992, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 31040.0060424, 0, 0.0, 0, 42.0775451, 137.088005, 0, 0, 0, -17.8500003, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 31102.0060501, 0, 0.0, 0, 42.0775451, 137.088005, 0, 0, 0, -17.8500003, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 31769.0061035, 0, 0.0, 0, 41.0961151, 137.088005, 0, 0, 0, -17.8500003, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 31826.0061035, 0, 0.0, 0, 41.0961151, 137.088005, 0, 0, 0, -17.8500003, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 32518.0062561, 0, 0.0, 0, 40.0355262, 137.088005, 0, 0, 0, -18.8999996, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 33284.0063629, 0, 0.0, 0, 39.0436935, 137.088005, 0, 0, 0, -16.7999992, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 33350.0063781, 0, 0.0, 0, 39.0436935, 137.088005, 0, 0, 0, -16.7999992, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 34073.0065917, 0, 0.0, 0, 38.0074729, 137.088005, 0, 0, 0, -16.7999992, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 34130.0065994, 0, 0.0, 0, 38.0074729, 137.088005, 0, 0, 0, -16.7999992, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 34883.0066528, 0, 0.0, 0, 36.938343, 137.088005, 0, 0, 0, -16.7999992, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 34945.0066528, 0, 0.0, 0, 36.938343, 137.088005, 0, 0, 0, -16.7999992, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 35716.0068969, 0, 0.0, 0, 35.9967841, 137.088005, 0, 0, 0, -14.6999997, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 36573.0068664, 0, 0.0, 0, 34.8368987, 137.088005, 0, 0, 0, -17.8500003, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 36629.0068969, 0, 0.0, 0, 34.8368987, 137.088005, 0, 0, 0, -17.8500003, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 37454.0073547, 0, 0.0, 0, 33.8785476, 137.088005, 0, 0, 0, -13.6499995, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 37517.0073547, 0, 0.0, 0, 33.8785476, 137.088005, 0, 0, 0, -13.6499995, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 38367.0073547, 0, 0.0, 0, 32.7808151, 137.088005, 0, 0, 0, -15.75, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 38422.0073547, 0, 0.0, 0, 32.7808151, 137.088005, 0, 0, 0, -15.75, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 39310.007843, 0, 0.0, 0, 31.6648978, 137.088005, 0, 0, 0, -15.75, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 39364.007843, 0, 0.0, 0, 31.6648978, 137.088005, 0, 0, 0, -15.75, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 40274.0078277, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 3785.2505493, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 40329.007843, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 3785.2505493, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 41233.0080108, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 41283.0080108, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 42150.0081863, 0, 0.0, 0, 36.8638076, 137.088005, 0, 0, 0, -1289.4002227, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 42214.0081939, 0, 0.0, 0, 36.8638076, 137.088005, 0, 0, 0, -1289.4002227, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 42882.0082397, 0, 0.0, 0, 42.3741187, 137.088005, 0, 0, 0, 100.8000106, 0, 0, 0, 0, 0.0, 28.7680, 
0:0:0, 42939.0082397, 0, 0.0, 0, 42.3741187, 137.088005, 0, 0, 0, 100.8000106, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 43543.0083312, 0, 0.0, 0, 46.6993407, 137.088005, 0, 0, 0, 87.1500015, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 44139.0085525, 0, 0.0, 0, 51.9103431, 137.088005, 0, 0, 0, 117.600006, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 44201.0085601, 0, 0.0, 0, 51.9103431, 137.088005, 0, 0, 0, 117.600006, 0, 0, 0, 0, 0.0, 28.9311, 
