Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Received message 1. Received message 2. Received message 3. Received message 4. Received message 5. Received message 6. Calibration complete! Offset is: 508 Hz.  GPS lost
0:0:0, 48902.0093383, 0, 0.0, 0, 54.7465972, 137.088005, 0, 0, 0, -12.6000003, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 50024.0078124, 0, 0.0, 0, 53.027954, 137.088005, 0, 0, 0, -10.5, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 51187.0080032, 0, 0.0, 0, 51.0222015, 137.088005, 0, 0, 0, -10.5, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 51786.0080566, 0, 0.0, 0, 50.0492019, 137.088005, 0, 0, 0, -10.5, 0, 0, 0, 0, 9.8080, 26.8963, 
0:0:0, 53017.0083007, 0, 0.0, 0, 48.232685, 137.088005, 0, 0, 0, -8.3999996, 0, 0, 0, 0, 9.7643, 26.6700, 
0:0:0, 54301.0085754, 0, 0.0, 0, 46.1824417, 137.088005, 0, 0, 0, -10.5, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 54963.0086059, 0, 0.0, 0, 45.2376365, 137.088005, 0, 0, 0, -9.4499997, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 56333.0088195, 0, 0.0, 0, 43.2894668, 137.088005, 0, 0, 0, -9.4499997, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 57040.0092773, 0, 0.0, 0, 42.3417014, 137.088005, 0, 0, 0, -8.3999996, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 57766.0093383, 0, 0.0, 0, 41.3571395, 137.088005, 0, 0, 0, -8.3999996, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 59228.0097808, 0, 0.0, 0, 42.3865279, 137.088005, 0, 0, 0, 15.75, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 59920.0098266, 0, 0.0, 0, 43.667179, 137.088005, 0, 0, 0, 11.5500001, 0, 0, 0, 0, 9.8080, 26.5101, 
0:0:0, 61233.0119171, 0, 0.0, 0, 47.6283797, 137.088005, 0, 0, 0, 26.2499999, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 61845.0119628, 0, 0.0, 0, 49.9986686, 137.088005, 0, 0, 0, 25.2000007, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 62984.0121459, 0, 0.0, 0, 54.3936996, 137.088005, 0, 0, 0, 24.1499996, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 64055.0124511, 0, 0.0, 0, 56.8934211, 137.088005, 0, 0, 0, 10.5, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 65114.0127029, 0, 0.0, 0, 56.1968002, 137.088005, 0, 0, 0, -16.7999992, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 66209.0127105, 0, 0.0, 0, 54.2869872, 137.088005, 0, 0, 0, -9.4499997, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 66771.0127563, 0, 0.0, 0, 53.4709586, 137.088005, 0, 0, 0, -9.4499997, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 67926.0132446, 0, 0.0, 0, 51.4983558, 137.088005, 0, 0, 0, -9.4499997, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 69126.0136795, 0, 0.0, 0, 49.5327682, 137.088005, 0, 0, 0, -10.5, 0, 0, 0, 0, 9.8457, 26.6700, 
0:0:0, 70372.0156555, 0, 0.0, 0, 47.6482848, 137.088005, 0, 0, 0, -10.5, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 71014.0158081, 0, 0.0, 0, 46.6218223, 137.088005, 0, 0, 0, -10.5, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 72342.0160217, 0, 0.0, 0, 44.7141456, 137.088005, 0, 0, 0, -8.3999996, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 73028.0161132, 0, 0.0, 0, 43.6844176, 137.088005, 0, 0, 0, -9.4499997, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 74449.0163879, 0, 0.0, 0, 41.672203, 137.088005, 0, 0, 0, -8.3999996, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 75187.0166091, 0, 0.0, 0, 40.5174064, 137.088005, 0, 0, 0, -10.5, 0, 0, 0, 0, 9.8080, 26.5101, 
0:0:0, 75942.0166625, 0, 0.0, 0, 39.6049499, 137.088005, 0, 0, 0, -7.3499998, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 77515.0171203, 0, 0.0, 0, 37.5029869, 137.088005, 0, 0, 0, -8.3999996, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 78334.0171203, 0, 0.0, 0, 36.4613037, 137.088005, 0, 0, 0, -8.3999996, 0, 0, 0, 0, 9.8080, 26.8963, 
0:0:0, 79178.0175857, 0, 0.0, 0, 35.453205, 137.088005, 0, 0, 0, -7.3499998, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 80050.0156249, 0, 0.0, 0, 34.3272285, 137.088005, 0, 0, 0, -8.3999996, 0, 0, 0, 0, 9.7643, 26.6700, 
0:0:0, 80948.015686, 0, 0.0, 0, 33.2103805, 137.088005, 0, 0, 0, -7.3499998, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 81856.0158691, 0, 0.0, 0, 33.6971473, 137.088005, 0, 0, 0, 3.15, 0, 0, 0, 0, 9.8080, 26.8963, 
0:0:0, 83340.0161437, 0, 0.0, 0, 45.5817108, 137.088005, 0, 0, 0, 64.050003, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 83940.0161743, 0, 0.0, 0, 51.4265785, 137.088005, 0, 0, 0, 65.0999984, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 85004.0166015, 0, 0.0, 0, 59.8254661, 137.088005, 0, 0, 0, 49.3499984, 0, 0, 0, 0, 9.7643, 26.5101, 
0:0:0, 85951.0166625, 0, 0.0, 0, 66.1818923, 137.088005, 0, 0, 0, 53.5499992, 0, 0, 0, 0, 9.8080, 26.5101, 
