Gear,Sproket,RPM,Speed (km/hr),RPM,Speed (km/hr),Ratio,Wheell Circum,,,,,,,,,,,,,
1,38,30,1087.2,109,3950.0,5.302631579,1.93,,,,,,,,,,,,,
2,30,86.1,3950.0,108,4957.5,6.716666667,,,,,,,,,,,,,,
3,23,82.8,4957.5,107,6406.4,8.760869565,,,,,,,,,,,,,,
4,20,93.0,6406.4,106,7298.5,10.075,,,,,,,,,,,,,,
5,18,95.4,7298.5,105,8032.9,11.19444444,,,,,,,,,,,,,,
6,16,93.3,8032.9,94,8090.3,12.59375,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),,Gear,CalcSpeed, GPS Speed (km/h)
16:14:23,22630.00433,4182,0,0.3959999,0,101.9880065,0,0,0,0,40.4302864,-117.0529632,1427.88327,0,9.808,25.238, ,1,0,0.3959999
16:14:23,22870.00433,4182,0,0.3959999,0,101.9880065,0,0,0,0,40.4302864,-117.0529632,1427.88327,0,9.808,25.555, ,1,0,0.3959999
16:14:24,23197.0044,4182,0,0.3959999,0,101.9880065,0,0,0,0,40.4302864,-117.0529632,1427.88327,0,9.808,25.555, ,1,0,0.3959999
16:14:24,23630.00446,4182,0,0.6479999,0,101.9880065,0,0,0,0,40.4302864,-117.0529632,1428.015228,0,9.808,25.6262, ,1,0,0.6479999
16:14:24,23869.00446,4182,0,0.6479999,0,101.9880065,0,0,0,0,40.4302864,-117.0529632,1428.015228,0,9.7263,25.3964, ,1,0,0.6479999
16:14:25,24730.0047,4183,0,0.8279999,0,101.9880065,0,0,0,0,40.4302787,-117.0529632,1427.870209,0,9.7263,25.3964, ,1,0,0.8279999
16:14:25,24873.0047,4183,0,0.8279999,0,101.9880065,0,0,0,0,40.4302787,-117.0529632,1427.870209,0,9.808,25.3964, ,1,0,0.8279999
16:14:26,25195.00489,4183,0,0.2519999,0,101.9880065,0,0,0,0,40.4302787,-117.0529632,1427.870209,0,9.808,25.3964, ,1,0,0.2519999
16:14:26,25630.00494,4183,0,0.6479999,0,101.9880065,0,0,0,0,40.4302787,-117.0529479,1427.734222,0,9.7643,25.3964, ,1,0,0.6479999
16:14:26,25873.00494,4183,0,0.6479999,0,101.9880065,0,0,0,0,40.4302787,-117.0529479,1427.734222,0,9.6829,25.6262, ,1,0,0.6479999
16:14:27,26630.00494,4183,0,1.1879999,0,101.9880065,0,0,0,0,40.4302787,-117.0529632,1427.863251,0,9.808,25.3964, ,1,0,1.1879999
16:14:28,27193.00538,4182,0,0.8279999,0,101.9880065,0,0,0,0,40.4302864,-117.0529632,1428.114227,0,9.808,25.3964, ,1,0,0.8279999
16:14:28,27630.00543,4182,0,1.1519999,0,101.9880065,0,0,0,0,40.4302864,-117.0529632,1428.179169,0,9.808,25.3964, ,1,0,1.1519999
16:14:28,27889.00543,4182,0,1.1519999,0,101.9880065,0,0,0,0,40.4302864,-117.0529632,1428.179169,0,9.808,25.6262, ,1,0,1.1519999
16:14:28,28190.00538,4182,0,1.1519999,0,101.9880065,0,0,0,0,40.4302864,-117.0529632,1428.179169,0,9.808,25.3964, ,1,0,1.1519999
16:14:29,28631.00543,4182,0,0.3599999,0,101.9880065,0,0,0,0,40.4302864,-117.0529632,1428.25827,0,9.808,25.3964, ,1,0,0.3599999
