Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Calibration timed-out...Offset is set as default: 507 Hz GPS lost
17:8:12, 20060.0039062, 8050, 0.0, 137.4840011, 0, 19.9799994, 0, 0, 0, 0, 41.2017326, -103.7341613, 1511.0082702, 0, 9.7263, 23.2743, 
17:8:13, 21009.0040893, 8050, 0.0, 137.3400039, 0, 19.9799994, 0, 0, 0, 0, 41.2016563, -103.7344589, 1510.8072204, 0, 9.6829, 23.374, 
17:8:14, 21954.0041503, 8050, 0.0, 137.5920028, 0, 19.9799994, 0, 0, 0, 0, 41.2015228, -103.7349472, 1510.5342712, 0, 9.7263, 23.374, 
17:8:15, 22902.0043334, 8050, 0.0, 137.664009, 0, 19.9799994, 0, 0, 0, 0, 41.2014465, -103.7352295, 1510.4861755, 0, 9.6829, 23.374, 
17:8:16, 23848.0044555, 8050, 0.0, 137.5199966, 0, 19.9799994, 0, 0, 0, 0, 41.2012977, -103.7358017, 1510.6562194, 0, 9.7263, 23.374, 
17:8:17, 24801.0046997, 8050, 0.0, 137.4119949, 0, 19.9799994, 0, 0, 0, 0, 41.2011795, -103.7362289, 1510.7051696, 0, 9.7263, 23.374, 
17:8:17, 25747.0049438, 8050, 0.0, 137.4480056, 0, 19.9799994, 0, 0, 0, 0, 41.2011032, -103.7365188, 1510.7112732, 0, 9.7263, 23.2743, 
17:8:18, 26694.0049438, 8050, 0.0, 137.5199966, 0, 19.9799994, 0, 0, 0, 0, 41.201023, -103.7368011, 1510.7521667, 0, 9.7263, 23.374, 
17:8:20, 27642.0054321, 8050, 0.0, 137.664009, 0, 19.9799994, 0, 0, 0, 0, 41.2008781, -103.7373504, 1510.4532165, 0, 9.7263, 23.374, 
17:8:21, 28593.0054016, 8050, 0.0, 137.6279983, 0, 19.9799994, 0, 0, 0, 0, 41.2007141, -103.7379531, 1509.9081725, 0, 9.7263, 23.374, 
