Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),
16:15:49, 4469.0007629, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 41.0564422, -102.046257, 1021.1401977, 0, 3.9737, 23.5082, 
16:15:50, 5211.0009918, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 41.0564422, -102.046257, 1021.1401977, 0, 3.9737, 23.7327, 
16:15:51, 6659.0010375, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 41.0564422, -102.046257, 1021.1401977, 0, 3.9906, 23.5082, 
16:15:52, 7400.0014953, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 41.0564422, -102.046257, 1021.1401977, 0, 3.9737, 23.5082, 
16:15:53, 8142.0014724, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 41.0564422, -102.046257, 1021.1401977, 0, 3.9737, 23.7327, 
16:15:55, 9585.0019836, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 41.0564422, -102.046257, 1021.1401977, 0, 3.9737, 23.7327, 
16:15:55, 10332.0019836, 13960, 0.0, 101.1240005, 0, 19.9799994, 0, 0, 0, 0, 41.0647811, -102.1897582, 1021.038208, 0, 3.9906, 23.5082, 
16:15:55, 11011.0021362, 13960, 0.0, 101.1240005, 0, 19.9799994, 0, 0, 0, 0, 41.0647811, -102.1897582, 1021.038208, 0, 3.9737, 23.5082, 
16:15:55, 12011.0023193, 13960, 0.0, 101.1240005, 0, 19.9799994, 0, 0, 0, 0, 41.0647811, -102.1897582, 1021.038208, 0, 3.9737, 23.5833, 
16:15:55, 13011.0024414, 13960, 0.0, 101.1240005, 0, 19.9799994, 0, 0, 0, 0, 41.0647811, -102.1897582, 1021.038208, 0, 3.9906, 23.5833, 
16:15:55, 14011.0026855, 13960, 0.0, 101.1240005, 0, 19.9799994, 0, 0, 0, 0, 41.0647811, -102.1897582, 1021.038208, 0, 3.9737, 23.7327, 
16:15:55, 15011.0029296, 13960, 0.0, 101.1240005, 0, 19.9799994, 0, 0, 0, 0, 41.0647811, -102.1897582, 1021.038208, 0, 3.9124, 23.6582, 
16:15:55, 16011.0029296, 13960, 0.0, 101.1240005, 0, 19.9799994, 0, 0, 0, 0, 41.0647811, -102.1897582, 1021.038208, 0, 3.9737, 23.7327, 
16:15:55, 17011.0034179, 13960, 0.0, 101.1240005, 0, 19.9799994, 0, 0, 0, 0, 41.0647811, -102.1897582, 1021.038208, 0, 3.9906, 23.5082, 
16:15:55, 18011.0034179, 13960, 0.0, 101.1240005, 0, 19.9799994, 0, 0, 0, 0, 41.0647811, -102.1897582, 1021.038208, 0, 3.9737, 23.7327, 
16:15:55, 19011.0039062, 13960, 0.0, 101.1240005, 0, 19.9799994, 0, 0, 0, 0, 41.0647811, -102.1897582, 1021.038208, 0, 3.9737, 23.5833,  GPS lost
16:15:55, 20012.0039062, 13960, 0.0, 101.1240005, 0, 19.9799994, 0, 0, 0, 0, 41.0647811, -102.1897582, 1021.038208, 0, 3.9737, 23.5833, 
16:16:6, 21011.0040893, 7451, 0.0, 107.0279998, 0, 58.8599967, 0, 0, 0, 0, 41.0828628, -102.4799041, 1136.853218, 0, 3.8957, 23.6582, 
16:16:7, 22011.0042724, 7479, 0.0, 107.4240035, 0, 58.4999961, 0, 0, 0, 0, 41.0829582, -102.4802474, 1136.952217, 0, 3.9906, 23.7327, 
16:16:8, 23011.0043945, 7506, 0.0, 107.0279998, 0, 58.1399993, 0, 0, 0, 0, 41.0830573, -102.4805831, 1136.5402297, 0, 3.9737, 23.7327, 
16:16:9, 24011.0046386, 7522, 0.0, 107.0640029, 0, 57.9239959, 0, 0, 0, 0, 41.0831146, -102.4807815, 1136.1182327, 0, 3.9737, 23.5082, 
16:16:9, 25011.0048828, 7533, 0.0, 106.1280059, 0, 57.7799987, 0, 0, 0, 0, 41.0831527, -102.4809112, 1135.5991897, 0, 3.9906, 23.5082, 
16:16:10, 26011.0048828, 7563, 0.0, 105.9480056, 0, 57.3839988, 0, 0, 0, 0, 41.0832672, -102.4813079, 1134.4391555, 0, 3.9737, 23.7327, 
16:16:12, 27011.005371, 7602, 0.0, 105.2639999, 0, 56.8799972, 0, 0, 0, 0, 41.0833969, -102.4817886, 1134.0131301, 0, 3.9737, 23.5082, 
16:16:13, 28013.005371, 7647, 0.0, 104.2919998, 0, 56.2679977, 0, 0, 0, 0, 41.0835533, -102.4823531, 1133.3961868, 0, 3.9737, 23.5082, 
16:16:14, 29011.0058593, 7667, 0.0, 103.8240051, 0, 56.0159988, 0, 0, 0, 0, 41.0836219, -102.4826125, 1133.5051956, 0, 3.9737, 23.5082, 
16:16:15, 30011.0058593, 7683, 0.0, 102.8880004, 0, 55.7999992, 0, 0, 0, 0, 41.0836753, -102.4828033, 1133.8852004, 0, 3.9906, 23.5082, 
16:16:16, 31011.0060424, 7712, 0.0, 101.9880065, 0, 55.4039993, 0, 0, 0, 0, 41.0837745, -102.4831848, 1133.9992141, 0, 3.9737, 23.5082, 
16:16:17, 32011.0062255, 7737, 0.0, 101.3759994, 0, 54.5759963, 0, 0, 0, 0, 41.0838546, -102.4835052, 1134.0801467, 0, 3.9906, 23.6582, 
16:16:18, 33011.0063476, 7762, 0.0, 100.9080047, 0, 52.4519958, 0, 0, 0, 0, 41.0839309, -102.4838256, 1134.2492141, 0, 3.9737, 23.5833, 
16:16:19, 34011.0065917, 7783, 0.0, 100.5839996, 0, 50.6879958, 0, 0, 0, 0, 41.0840072, -102.4841003, 1134.327217, 0, 3.9737, 23.6582, 
16:16:20, 35011.0068359, 7817, 0.0, 100.0440063, 0, 47.8439979, 0, 0, 0, 0, 41.0841026, -102.4845275, 1134.0421829, 0, 3.9906, 23.5082, 
16:16:21, 36016.0068359, 7837, 0.0, 99.7919921, 0, 46.1879997, 0, 0, 0, 0, 41.0841598, -102.4847793, 1134.0651321, 0, 3.9906, 23.6582, 
16:16:22, 37011.0073242, 7862, 0.0, 100.0440063, 0, 44.0999984, 0, 0, 0, 0, 41.0842285, -102.4850997, 1133.8191604, 0, 3.9906, 23.5082, 
16:16:23, 38011.0073242, 7885, 0.0, 99.8999938, 0, 42.1199989, 0, 0, 0, 0, 41.0843086, -102.4854125, 1133.6802444, 0, 3.8957, 23.7327, 
16:16:24, 39011.0078124, 7905, 0.0, 99.7919921, 0, 40.5, 0, 0, 0, 0, 41.0843658, -102.4856567, 1133.879219, 0, 3.8957, 23.6490, 
16:16:25, 40012.0078124, 7934, 0.0, 99.9719924, 0, 38.0159988, 0, 0, 0, 0, 41.0844497, -102.4860458, 1132.7962112, 0, 3.9737, 23.7327, 
16:16:26, 41011.0079956, 7964, 0.0, 99.6119994, 0, 35.5319976, 0, 0, 0, 0, 41.0845222, -102.4864349, 1132.1481399, 0, 3.9737, 23.5082, 
16:16:27, 42011.0081787, 7989, 0.0, 99.8999938, 0, 33.4440002, 0, 0, 0, 0, 41.084587, -102.4867553, 1131.7051468, 0, 3.9737, 23.5082, 
16:16:28, 43011.0083007, 8009, 0.0, 99.7199936, 0, 31.7879982, 0, 0, 0, 0, 41.0846366, -102.4870071, 1131.3212356, 0, 4.76, 23.7327, 
16:16:29, 44011.0085449, 8024, 0.0, 99.7199936, 0, 30.5279979, 0, 0, 0, 0, 41.0846748, -102.4871978, 1130.8992385, 0, 3.9737, 23.7327, 
16:16:30, 45011.008789, 8053, 0.0, 99.2159957, 0, 28.079998, 0, 0, 0, 0, 41.0847511, -102.4875869, 1130.4572219, 0, 3.9737, 23.5833, 
16:16:31, 46011.008789, 8075, 0.0, 99.0719985, 0, 26.2439994, 0, 0, 0, 0, 41.0848121, -102.4878768, 1130.242134, 0, 3.8957, 23.7327, 
16:16:32, 47011.0092773, 8105, 0.0, 98.819992, 0, 23.6879996, 0, 0, 0, 0, 41.084896, -102.4882736, 1129.8291702, 0, 3.9906, 23.6582, 
16:16:33, 48011.0092773, 8115, 0.0, 98.6399993, 0, 22.8959998, 0, 0, 0, 0, 41.0849227, -102.4883956, 1129.7311477, 0, 3.9737, 23.4341, 
16:16:34, 49011.0097656, 8143, 0.0, 98.6039962, 0, 20.5559997, 0, 0, 0, 0, 41.0850028, -102.4887771, 1129.8351516, 0, 3.8957, 23.7327, 
16:16:35, 50011.0078124, 8173, 0.0, 98.5319976, 0, 19.9799994, 0, 0, 0, 0, 41.085083, -102.4891815, 1129.9961623, 0, 3.9737, 23.5833, 
16:16:36, 51011.0079956, 8194, 0.0, 98.4959945, 0, 19.9799994, 0, 0, 0, 0, 41.0851402, -102.4894561, 1130.070137, 0, 3.9906, 23.5082, 
16:16:36, 52012.0081787, 8208, 0.0, 98.5319976, 0, 19.9799994, 0, 0, 0, 0, 41.0851783, -102.4896392, 1130.3231887, 0, 3.9737, 23.5833, 
16:16:37, 53011.0083007, 8228, 0.0, 98.6399993, 0, 19.9799994, 0, 0, 0, 0, 41.0852355, -102.4899139, 1130.7461624, 0, 3.9906, 23.5082, 
16:16:39, 54011.0085449, 8265, 0.0, 98.4959945, 0, 19.9799994, 0, 0, 0, 0, 41.0853309, -102.4903945, 1130.8981399, 0, 3.9737, 23.7327, 
16:16:40, 55011.008789, 8284, 0.0, 98.5679931, 0, 19.9799994, 0, 0, 0, 0, 41.0853881, -102.4906616, 1131.1671829, 0, 3.9906, 23.5082, 
16:16:41, 56011.008789, 8306, 0.0, 99.0359954, 0, 19.9799994, 0, 0, 0, 0, 41.0854453, -102.4909667, 1131.1521682, 0, 3.9737, 23.5082, 
16:16:41, 57011.0092773, 8322, 0.0, 99.7199936, 0, 19.9799994, 0, 0, 0, 0, 41.0854911, -102.4911727, 1131.4112014, 0, 3.9737, 23.7327, 
16:16:42, 58011.0092773, 8339, 0.0, 100.3320007, 0, 19.9799994, 0, 0, 0, 0, 41.0855369, -102.4914092, 1131.5662307, 0, 3.9906, 23.7327, 
16:16:43, 59011.0097656, 8365, 0.0, 101.3040008, 0, 19.9799994, 0, 0, 0, 0, 41.0856018, -102.4917602, 1131.5491409, 0, 3.9737, 23.5082, 
16:16:44, 60011.0117187, 8388, 0.0, 102.8160018, 0, 19.9799994, 0, 0, 0, 0, 41.085659, -102.4920654, 1131.6402053, 0, 3.9737, 23.5833, 
16:16:45, 61011.0119018, 8423, 0.0, 104.6520003, 0, 19.9799994, 0, 0, 0, 0, 41.0857582, -102.492546, 1131.5531692, 0, 3.9737, 23.5833, 
16:16:46, 62011.0120849, 8437, 0.0, 105.6600036, 0, 19.9799994, 0, 0, 0, 0, 41.0858001, -102.4927444, 1131.5292434, 0, 3.9737, 23.5833, 
16:16:48, 63011.012207, 8478, 0.0, 107.6760024, 0, 19.9799994, 0, 0, 0, 0, 41.0859184, -102.4932937, 1131.6571731, 0, 3.9737, 23.7979, 
16:16:49, 64011.0124511, 8498, 0.0, 108.9360046, 0, 19.9799994, 0, 0, 0, 0, 41.0859794, -102.4935912, 1131.7582473, 0, 3.9737, 23.5833, 
16:16:50, 65011.0126953, 8523, 0.0, 110.088005, 0, 19.9799994, 0, 0, 0, 0, 41.0860481, -102.4939193, 1131.8102493, 0, 3.9737, 23.5833, 
16:16:51, 66015.0126953, 8548, 0.0, 111.3840026, 0, 19.9799994, 0, 0, 0, 0, 41.0861244, -102.4942703, 1131.8551711, 0, 3.9906, 23.6582, 
16:16:51, 67011.0131835, 8574, 0.0, 112.6080016, 0, 19.9799994, 0, 0, 0, 0, 41.0861968, -102.4946288, 1131.787178, 0, 3.9737, 23.5833, 
16:16:52, 68012.0131835, 8594, 0.0, 113.9039992, 0, 19.9799994, 0, 0, 0, 0, 41.0862617, -102.4949188, 1131.6802444, 0, 3.8957, 23.5082, 
16:16:53, 69011.0136718, 8620, 0.0, 115.0200042, 0, 19.9799994, 0, 0, 0, 0, 41.0863342, -102.4952773, 1131.3751907, 0, 3.9906, 23.5082, 
16:16:54, 70011.0156249, 8646, 0.0, 116.2080001, 0, 19.9799994, 0, 0, 0, 0, 41.0864143, -102.4956512, 1130.9751662, 0, 3.9737, 23.7327, 
16:16:56, 71011.0158081, 8693, 0.0, 117.972, 0, 19.9799994, 0, 0, 0, 0, 41.0865592, -102.4963149, 1130.6471633, 0, 3.9737, 23.5833, 
