Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Calibration timed-out...Offset is set as default: 507 Hz GPS lost
0:0:0, 18964.003479, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 19868.0039672, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.9244, 25.2783, 
0:0:0, 19929.0039672, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 20836.0039672, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.9244, 24.9805, 
0:0:0, 20891.0039672, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.9244, 24.9167, 
0:0:0, 21797.0041503, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.8474, 24.7674, 
0:0:0, 21853.0041503, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 22766.0043334, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 22821.0043334, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 23728.0044555, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.9244, 24.9805, 
0:0:0, 23783.0044555, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 24689.0046997, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.8633, 25.1293, 
0:0:0, 24750.0046997, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.9405, 25.1293, 
0:0:0, 25657.0049438, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.8474, 25.1293, 
0:0:0, 25712.0049438, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 26618.0049438, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 26674.0049438, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.9244, 24.9167, 
0:0:0, 27586.0054016, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.9244, 24.9805, 
0:0:0, 27641.0054321, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.9244, 24.9167, 
0:0:0, 28548.0054016, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 28603.0054321, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.8474, 25.1293, 
0:0:0, 29509.0058898, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 29570.0058898, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.9244, 24.9167, 
0:0:0, 30478.0058898, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 3.9244, 24.9805, 
0:0:0, 30529.0058898, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 3.8474, 25.1293, 
0:0:0, 31434.0060729, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 31485.0060729, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 32391.0062561, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 32448.0062561, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 33158.0063552, 0, 0.0, 0, 26.8464736, 137.088005, 0, 0, 0, 155.4000015, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 33217.0063629, 0, 0.0, 0, 26.8464736, 137.088005, 0, 0, 0, 155.4000015, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 34129.0065994, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -342.3000182, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 34185.0065994, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -342.3000182, 0, 0, 0, 0, 3.9244, 24.9167, 
0:0:0, 35065.0068359, 0, 0.0, 0, 33.9255752, 137.088005, 0, 0, 0, 164.8500137, 0, 0, 0, 0, 3.8474, 24.9167, 
0:0:0, 35125.0068435, 0, 0.0, 0, 33.9255752, 137.088005, 0, 0, 0, 164.8500137, 0, 0, 0, 0, 3.9244, 24.9167, 
0:0:0, 35906.0068969, 0, 0.0, 0, 36.7127761, 137.088005, 0, 0, 0, 22.0499992, 0, 0, 0, 0, 3.9244, 24.9167, 
0:0:0, 36679.0068969, 0, 0.0, 0, 39.2251853, 137.088005, 0, 0, 0, 21, 0, 0, 0, 0, 3.9244, 25.2783, 
0:0:0, 36740.0068969, 0, 0.0, 0, 39.2251853, 137.088005, 0, 0, 0, 21, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 37429.0073547, 0, 0.0, 0, 40.6627464, 137.088005, 0, 0, 0, 12.6000003, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 37488.0073547, 0, 0.0, 0, 40.6627464, 137.088005, 0, 0, 0, 12.6000003, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 38150.0073318, 0, 0.0, 0, 41.9714927, 137.088005, 0, 0, 0, 11.5500001, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 38208.0073394, 0, 0.0, 0, 41.9714927, 137.088005, 0, 0, 0, 11.5500001, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 38865.0073852, 0, 0.0, 0, 42.2248382, 137.088005, 0, 0, 0, 2.0999998, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 39559.007843, 0, 0.0, 0, 43.7881012, 137.088005, 0, 0, 0, 14.6999997, 0, 0, 0, 0, 3.9244, 25.2783, 
0:0:0, 39618.0078735, 0, 0.0, 0, 43.7881012, 137.088005, 0, 0, 0, 14.6999997, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 40251.0078277, 0, 0.0, 0, 43.5802078, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.9244, 24.9805, 
0:0:0, 40309.007843, 0, 0.0, 0, 43.5802078, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 3.9244, 25.2783, 
0:0:0, 40930.0078735, 0, 0.0, 0, 44.4952773, 137.088005, 0, 0, 0, 8.3999996, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 41600.0080566, 0, 0.0, 0, 45.0599822, 137.088005, 0, 0, 0, 5.2499999, 0, 0, 0, 0, 3.9244, 25.1293, 
0:0:0, 41658.0080566, 0, 0.0, 0, 45.0599822, 137.088005, 0, 0, 0, 5.2499999, 0, 0, 0, 0, 3.8474, 24.7674, 
0:0:0, 42255.0081939, 0, 0.0, 0, 46.3656463, 137.088005, 0, 0, 0, 12.6000003, 0, 0, 0, 0, 3.8474, 25.1293, 
