Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),
15:56:24, 4123.00074, 35, 0.0, 104.6880035, 0, 137.0159988, 0, 0, 0, 0, 41.0626029, -102.001007, 1019.6221923, 0, 9.8080, 23.6632, 
15:56:26, 5073.0009765, 145, 0.0, 104.8680038, 0, 136.6559982, 0, 0, 0, 0, 41.0626144, -102.0020828, 1016.2131957, 0, 9.8898, 23.8200, 
15:56:26, 6029.0009765, 178, 0.0, 105.1560058, 0, 136.4760055, 0, 0, 0, 0, 41.062622, -102.0024108, 1017.7131958, 0, 9.8898, 23.8200, 
15:56:28, 7132.0014724, 211, 0.0, 105.1200027, 0, 136.2959976, 0, 0, 0, 0, 41.0626182, -102.0027313, 1019.2702026, 0, 9.8080, 23.8200, 
15:56:29, 8083.0014648, 253, 0.0, 105.7680053, 0, 136.0799941, 0, 0, 0, 0, 41.0626068, -102.003128, 1021.1781616, 0, 9.8080, 23.8200, 
15:56:30, 9034.0019531, 290, 0.0, 105.588005, 0, 135.9000014, 0, 0, 0, 0, 41.0626068, -102.0035018, 1023.2451782, 0, 9.8898, 23.8981, 
15:56:32, 10141.0019607, 370, 0.0, 105.4080047, 0, 135.5040054, 0, 0, 0, 0, 41.0626068, -102.0042724, 1023.6661987, 0, 9.8080, 23.8200, 
15:56:33, 11094.0021362, 398, 0.0, 105.0839996, 0, 135.3600082, 0, 0, 0, 0, 41.0626106, -102.0045471, 1023.8251952, 0, 9.8898, 23.8200, 
15:56:33, 12046.0023193, 419, 0.0, 105.2280044, 0, 135.2520065, 0, 0, 0, 0, 41.0626106, -102.0047531, 1023.6211547, 0, 9.8080, 23.6632, 
15:56:34, 13149.002449, 441, 0.0, 105.5520019, 0, 135.1440048, 0, 0, 0, 0, 41.0626106, -102.0049667, 1023.7091674, 0, 9.8080, 23.8200, 
15:56:35, 14107.0026931, 477, 0.0, 105.0839996, 0, 134.9639968, 0, 0, 0, 0, 41.0626106, -102.0053176, 1023.8671874, 0, 9.8080, 23.8200, 
15:56:36, 15059.0029296, 529, 0.0, 104.9400024, 0, 134.6760024, 0, 0, 0, 0, 41.0626106, -102.0058288, 1024.1311645, 0, 9.8080, 23.8200, 
15:56:38, 16011.0029296, 576, 0.0, 105.2280044, 0, 134.4240035, 0, 0, 0, 0, 41.0626106, -102.0062789, 1024.3842162, 0, 9.7643, 24.545, 
15:56:39, 17119.0034255, 605, 0.0, 105.8400039, 0, 134.2800064, 0, 0, 0, 0, 41.0626106, -102.0065689, 1024.6421508, 0, 9.8080, 23.8200, 
15:56:40, 18071.0034179, 648, 0.0, 105.7680053, 0, 134.0640029, 0, 0, 0, 0, 41.0626106, -102.0069808, 1024.9992065, 0, 9.8080, 23.6632, 
15:56:40, 19023.0039062, 662, 0.0, 106.5960006, 0, 133.9919967, 0, 0, 0, 0, 41.0626106, -102.0071258, 1025.0321655, 0, 9.7643, 23.8200, 
15:56:41, 20126.0039138, 706, 0.0, 106.3440017, 0, 133.7760086, 0, 0, 0, 0, 41.0626106, -102.0075454, 1025.2211303, 0, 9.8080, 23.6632, 
15:56:43, 21082.0040893, 753, 0.0, 106.6679992, 0, 133.5239944, 0, 0, 0, 0, 41.0626106, -102.0080108, 1025.545227, 0, 9.8080, 23.6632, 
15:56:44, 22033.0042724, 791, 0.0, 105.7320022, 0, 133.3440017, 0, 0, 0, 0, 41.0626182, -102.008377, 1025.5751342, 0, 9.8080, 23.8200, 
15:56:45, 23135.0044021, 821, 0.0, 104.9039992, 0, 133.2000045, 0, 0, 0, 0, 41.0626106, -102.0086593, 1025.6261596, 0, 9.8080, 23.8200, 
15:56:46, 24087.0046386, 856, 0.0, 106.4520034, 0, 133.0199966, 0, 0, 0, 0, 41.0626106, -102.0090026, 1025.6621703, 0, 9.8080, 23.8200, 
15:56:46, 25043.0048828, 892, 0.0, 106.8840026, 0, 132.8040084, 0, 0, 0, 0, 41.0626182, -102.0093612, 1025.6592406, 0, 9.8080, 23.8200, 
15:56:47, 26146.0048904, 920, 0.0, 105.9840011, 0, 132.6960067, 0, 0, 0, 0, 41.0626182, -102.0096359, 1025.6821899, 0, 9.8080, 23.8200, 
15:56:48, 27100.0053787, 955, 0.0, 105.3720016, 0, 132.5159988, 0, 0, 0, 0, 41.0626182, -102.0099792, 1025.7721557, 0, 9.8080, 23.8200, 
15:56:50, 28056.005371, 994, 0.0, 104.9039992, 0, 132.3360061, 0, 0, 0, 0, 41.0626106, -102.010353, 1025.9491576, 0, 9.8080, 23.8200, 
15:56:51, 29008.0058593, 1040, 0.0, 104.9400024, 0, 132.1559982, 0, 0, 0, 0, 41.0626106, -102.0108032, 1026.4152221, 0, 9.8080, 23.6632, 
15:56:52, 30008.0058593, 1068, 0.0, 104.9400024, 0, 132.012001, 0, 0, 0, 0, 41.0626106, -102.0110778, 1026.6381225, 0, 9.8080, 23.6632, 
15:56:52, 31008.0060424, 1091, 0.0, 105.1920013, 0, 131.9039992, 0, 0, 0, 0, 41.0626106, -102.0112991, 1026.6201781, 0, 9.8080, 23.8200, 
15:56:53, 32009.0062255, 1125, 0.0, 105.4080047, 0, 131.7600021, 0, 0, 0, 0, 41.0626106, -102.0116348, 1026.5311889, 0, 9.8080, 24.545, 
15:56:54, 33008.0063476, 1155, 0.0, 104.4360046, 0, 131.6160049, 0, 0, 0, 0, 41.0626106, -102.0119323, 1026.6411742, 0, 9.8080, 23.8200, 
15:56:55, 34009.0065917, 1210, 0.0, 105.9120025, 0, 131.364006, 0, 0, 0, 0, 41.0626182, -102.0124588, 1026.8482055, 0, 9.8080, 23.8981, 
15:56:57, 35008.0068359, 1247, 0.0, 106.1280059, 0, 131.1839981, 0, 0, 0, 0, 41.0626182, -102.0128173, 1026.9231567, 0, 9.8080, 23.8981, 
15:56:57, 36008.0068359, 1276, 0.0, 105.6240005, 0, 131.0759963, 0, 0, 0, 0, 41.0626182, -102.0130996, 1027.0762329, 0, 9.8080, 23.8200, 
15:56:58, 37008.0073242, 1303, 0.0, 105.300003, 0, 130.9319991, 0, 0, 0, 0, 41.0626106, -102.0133743, 1027.2842407, 0, 9.8080, 23.8200, 
15:56:59, 38008.0073242, 1339, 0.0, 103.9680022, 0, 130.788002, 0, 0, 0, 0, 41.0626106, -102.0137176, 1027.3432006, 0, 9.8080, 23.6632, 
15:57:1, 39008.0078124, 1387, 0.0, 104.2919998, 0, 130.5719985, 0, 0, 0, 0, 41.0626068, -102.014183, 1027.5862426, 0, 9.8080, 24.545, 
15:57:2, 40008.0078124, 1423, 0.0, 103.788002, 0, 130.3920059, 0, 0, 0, 0, 41.0626068, -102.0145339, 1027.9331664, 0, 9.8080, 24.545, 
15:57:2, 41008.0079956, 1441, 0.0, 104.2560043, 0, 130.3199996, 0, 0, 0, 0, 41.0626068, -102.0147171, 1027.9161986, 0, 9.8898, 23.8200, 
15:57:3, 42008.0081787, 1479, 0.0, 105.6240005, 0, 130.140007, 0, 0, 0, 0, 41.0626029, -102.0150833, 1028.0972289, 0, 9.8080, 23.8200, 
15:57:5, 43009.0083007, 1527, 0.0, 106.9920043, 0, 129.9240035, 0, 0, 0, 0, 41.0625991, -102.0155487, 1027.9622191, 0, 9.8080, 23.8200, 
15:57:5, 44008.0085449, 1558, 0.0, 107.2800064, 0, 129.7800064, 0, 0, 0, 0, 41.0625915, -102.0158538, 1027.7401733, 0, 9.8080, 23.8200, 
15:57:6, 45008.008789, 1594, 0.0, 105.5520019, 0, 129.6360091, 0, 0, 0, 0, 41.0625839, -102.0162048, 1027.4921264, 0, 9.8080, 23.6632, 
15:57:7, 46008.008789, 1629, 0.0, 106.2000045, 0, 129.4560012, 0, 0, 0, 0, 41.0625724, -102.0165481, 1027.0922241, 0, 9.8080, 23.8981, 
