Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Calibration timed-out...Offset is set as default: 507 Hz GPS lost
17:9:31, 20068.0039062, 8050, 0.0, 133.3080062, 0, 19.9799994, 0, 0, 0, 0, 41.1931457, -103.7678909, 1518.756195, 0, 9.6446, 23.2743, 
17:9:31, 21019.0040893, 8050, 0.0, 132.8759994, 0, 19.9799994, 0, 0, 0, 0, 41.1931037, -103.7681579, 1518.5822448, 0, 9.6446, 23.374, 
17:9:32, 21967.0041503, 8050, 0.0, 132.9119948, 0, 19.9799994, 0, 0, 0, 0, 41.1931037, -103.7681579, 1518.5822448, 0, 9.6829, 23.2743, 
17:9:33, 22918.0043334, 8050, 0.0, 132.1559982, 0, 19.9799994, 0, 0, 0, 0, 41.1929969, -103.7689209, 1518.8322448, 0, 9.6829, 23.374, 
17:9:34, 23866.0044555, 8050, 0.0, 132.2639999, 0, 19.9799994, 0, 0, 0, 0, 41.1929206, -103.7694397, 1519.0612487, 0, 9.7263, 23.374, 
17:9:35, 24817.0046997, 8050, 0.0, 132.3360061, 0, 19.9799994, 0, 0, 0, 0, 41.1928596, -103.7698974, 1518.9742126, 0, 9.7263, 22.8813, 
17:9:36, 25766.0049438, 8050, 0.0, 132.1920089, 0, 19.9799994, 0, 0, 0, 0, 41.1928062, -103.7702941, 1518.9021911, 0, 9.7263, 23.374, 
17:9:37, 26716.0049438, 8050, 0.0, 132.3720016, 0, 19.9799994, 0, 0, 0, 0, 41.192768, -103.7705841, 1518.7251892, 0, 9.7263, 23.1936, 
17:9:38, 27665.0054321, 8050, 0.0, 132.2999954, 0, 19.9799994, 0, 0, 0, 0, 41.1926994, -103.7711715, 1518.3561706, 0, 9.7263, 23.374, 
17:9:39, 28619.0054321, 8050, 0.0, 132.588005, 0, 19.9799994, 0, 0, 0, 0, 41.1926498, -103.7716064, 1517.9331969, 0, 9.7263, 23.374, 
17:9:40, 29569.0058898, 8050, 0.0, 132.7320022, 0, 19.9799994, 0, 0, 0, 0, 41.1926002, -103.772026, 1517.7372741, 0, 9.6446, 23.374, 
17:9:41, 30518.0058898, 8050, 0.0, 132.9840011, 0, 19.9799994, 0, 0, 0, 0, 41.1925735, -103.772293, 1517.5672302, 0, 9.7263, 23.374, 
17:9:42, 31467.0060729, 8050, 0.0, 133.0199966, 0, 19.9799994, 0, 0, 0, 0, 41.192543, -103.7725906, 1517.2931823, 0, 9.6446, 23.374, 
17:9:44, 33125.0063552, 8050, 0.0, 134.1360092, 0, 19.9799994, 0, 0, 0, 0, 41.19244, -103.7737045, 1517.2211608, 0, 9.7263, 23.2743, 
17:9:45, 34092.0065917, 8050, 0.0, 135.0000076, 0, 19.9799994, 0, 0, 0, 0, 41.1924095, -103.7740631, 1517.3191833, 0, 9.7263, 22.8813, 
17:9:45, 35040.0068359, 8050, 0.0, 136.2959976, 0, 19.9799994, 0, 0, 0, 0, 41.1923904, -103.7742385, 1517.3182067, 0, 9.7263, 23.374, 
17:9:46, 35992.0068969, 8050, 0.0, 136.3680038, 0, 19.9799994, 0, 0, 0, 0, 41.1923599, -103.7746887, 1517.4422302, 0, 9.7263, 23.374, 
17:9:47, 36941.0068969, 8050, 0.0, 136.4760055, 0, 19.9799994, 0, 0, 0, 0, 41.1923179, -103.7752304, 1517.6171569, 0, 9.6829, 23.374, 
17:9:48, 37891.0073852, 8050, 0.0, 137.4119949, 0, 19.9799994, 0, 0, 0, 0, 41.1922988, -103.7754974, 1517.70224, 0, 9.7263, 23.374, 
17:9:49, 38838.0073852, 8050, 0.0, 136.8360061, 0, 19.9799994, 0, 0, 0, 0, 41.1922759, -103.7758636, 1517.7712097, 0, 9.6446, 23.374, 
17:9:50, 39789.0078735, 8050, 0.0, 137.5199966, 0, 19.9799994, 0, 0, 0, 0, 41.1922492, -103.7763137, 1517.775238, 0, 9.7263, 23.374, 
17:9:51, 40737.0078735, 8050, 0.0, 138.0239944, 0, 19.9799994, 0, 0, 0, 0, 41.1922302, -103.776741, 1517.9302672, 0, 9.7263, 23.374, 
17:9:52, 41687.0080566, 8050, 0.0, 139.1760024, 0, 19.9799994, 0, 0, 0, 0, 41.1922149, -103.7771301, 1517.9362487, 0, 9.6446, 23.2743, 
17:9:53, 42635.0082397, 8050, 0.0, 138.9959945, 0, 19.9799994, 0, 0, 0, 0, 41.192192, -103.7778625, 1517.7972107, 0, 9.7263, 23.374, 
17:9:54, 43447.0083312, 8050, 0.0, 138.6720046, 0, 19.9799994, 0, 0, 0, 0, 41.1921806, -103.7781677, 1517.8921813, 0, 9.7263, 23.374, 
17:9:55, 44447.0085754, 8050, 0.0, 138.2399978, 0, 19.9799994, 0, 0, 0, 0, 41.1921653, -103.7785263, 1517.9701842, 0, 9.7263, 23.374, 
17:9:55, 45448.0088195, 8050, 0.0, 137.5560073, 0, 19.9799994, 0, 0, 0, 0, 41.1921615, -103.7788391, 1518.1182556, 0, 9.7263, 23.374, 
