Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),
16:51:11, 4477.0007629, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 41.2003517, -103.2550506, 1337.9012145, 0, 9.9270, 23.8200, 
16:51:12, 5419.001007, 3207, 0.0, 136.6200027, 0, 114.8759994, 0, 0, 0, 0, 41.202629, -103.285408, 1348.671234, 0, 9.9715, 23.9770, 
16:51:12, 6507.001007, 3207, 0.0, 136.6200027, 0, 114.8759994, 0, 0, 0, -3219.3005523, 41.202629, -103.285408, 1348.671234, 0, 9.8080, 23.9770, 
16:51:12, 7456.0014953, 3207, 0.0, 136.6200027, 0, 114.8759994, 0, 0, 0, 0, 41.202629, -103.285408, 1348.671234, 0, 9.8080, 23.8200, 
16:51:12, 8400.0014953, 3207, 0.0, 136.6200027, 0, 114.8759994, 0, 0, 0, 0, 41.202629, -103.285408, 1348.671234, 0, 9.8080, 23.8200, 
16:51:12, 9346.0019836, 3207, 0.0, 136.6200027, 0, 114.8759994, 0, 0, 0, 0, 41.202629, -103.285408, 1348.671234, 0, 9.8080, 24.2109, 
16:51:12, 10295.0019683, 3207, 0.0, 136.6200027, 0, 114.8759994, 0, 0, 0, 0, 41.202629, -103.285408, 1348.671234, 0, 9.8080, 23.8200, 
16:51:12, 11240.0021514, 3207, 0.0, 136.6200027, 0, 114.8759994, 0, 0, 0, 0, 41.202629, -103.285408, 1348.671234, 0, 9.8080, 23.8200, 
16:51:12, 12184.0023269, 3207, 0.0, 136.6200027, 0, 114.8759994, 0, 0, 0, 0, 41.202629, -103.285408, 1348.671234, 0, 9.8080, 24.2109, 
16:51:12, 13130.002449, 3207, 0.0, 136.6200027, 0, 114.8759994, 0, 0, 0, 0, 41.202629, -103.285408, 1348.671234, 0, 9.8080, 24.545, 
