Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),
17:2:19, 4435.0007629, 50, 0.0, 137.2679977, 0, 136.9800033, 0, 0, 0, 0, 41.2215347, -103.5826415, 1455.7192077, 0, 9.8080, 23.1936, 
17:2:21, 5383.001007, 111, 0.0, 137.9879989, 0, 136.8360061, 0, 0, 0, 0, 41.2215423, -103.5831909, 1455.907196, 0, 9.8080, 23.4300, 
17:2:21, 6333.001007, 144, 0.0, 137.8799972, 0, 136.6559982, 0, 0, 0, 0, 41.2215461, -103.583496, 1456.2012634, 0, 9.7263, 23.1936, 
17:2:22, 7280.0014801, 186, 0.0, 138.1680068, 0, 136.4399948, 0, 0, 0, 0, 41.2215461, -103.5838699, 1456.6111755, 0, 9.8080, 23.1936, 
17:2:23, 8227.0014801, 209, 0.0, 138.2399978, 0, 136.3320083, 0, 0, 0, 0, 41.2215461, -103.5840682, 1456.8472595, 0, 9.7263, 23.4300, 
17:2:24, 9175.0019607, 258, 0.0, 138.5999984, 0, 136.0799941, 0, 0, 0, 0, 41.2215499, -103.5845031, 1457.2292175, 0, 9.7263, 23.1936, 
17:2:25, 10126.0019607, 322, 0.0, 138.4919967, 0, 135.7560043, 0, 0, 0, 0, 41.2215537, -103.5850982, 1457.513153, 0, 9.7263, 23.374, 
17:2:26, 11072.0021362, 385, 0.0, 137.4840011, 0, 135.4319991, 0, 0, 0, 0, 41.2215537, -103.5856552, 1457.6342468, 0, 9.7263, 23.1936, 
17:2:27, 12026.0023193, 444, 0.0, 136.6920089, 0, 135.1080093, 0, 0, 0, 0, 41.2215614, -103.5861816, 1457.5152282, 0, 9.7263, 23.1936, 
17:2:29, 13683.0025024, 516, 0.0, 134.9639968, 0, 134.7480087, 0, 0, 0, 0, 41.2215537, -103.5868377, 1457.2151794, 0, 9.8080, 23.1936, 
17:2:30, 14635.0027465, 565, 0.0, 134.2439956, 0, 134.4959945, 0, 0, 0, 0, 41.2215537, -103.5872878, 1456.9882506, 0, 9.6829, 23.1936, 
17:2:30, 15582.0029602, 604, 0.0, 133.3799972, 0, 134.2800064, 0, 0, 0, 0, 41.2215614, -103.5876388, 1456.7072448, 0, 9.6829, 23.1936, 
17:2:31, 16529.0029602, 654, 0.0, 132.7679977, 0, 134.0280075, 0, 0, 0, 0, 41.2215652, -103.5880813, 1456.1271667, 0, 9.8080, 23.374, 
17:2:32, 17576.0034484, 703, 0.0, 131.2919998, 0, 133.7760086, 0, 0, 0, 0, 41.2215652, -103.5885162, 1455.1452331, 0, 9.8080, 23.374, 
17:2:34, 18425.0034484, 761, 0.0, 129.9240035, 0, 133.4879989, 0, 0, 0, 0, 41.2215728, -103.589035, 1454.1011657, 0, 9.7263, 23.1936, 
17:2:34, 19372.0039367, 771, 0.0, 129.7080001, 0, 133.4520034, 0, 0, 0, 0, 41.2215728, -103.5891265, 1454.0021667, 0, 9.8080, 23.374, 
17:2:34, 20318.0039367, 771, 0.0, 129.7080001, 0, 133.4520034, 0, 0, 0, 0, 41.2215728, -103.5891265, 1454.0021667, 0, 9.8080, 23.1936, 
17:2:34, 21268.0041046, 771, 0.0, 129.7080001, 0, 133.4520034, 0, 0, 0, 0, 41.2215728, -103.5891265, 1454.0021667, 0, 9.8080, 23.1936, 
17:2:34, 22215.0042877, 771, 0.0, 129.7080001, 0, 133.4520034, 0, 0, 0, 0, 41.2215728, -103.5891265, 1454.0021667, 0, 9.7263, 23.2743, 
17:2:34, 23162.0044021, 771, 0.0, 129.7080001, 0, 133.4520034, 0, 0, 0, 0, 41.2215728, -103.5891265, 1454.0021667, 0, 9.6829, 23.374, 
17:2:34, 24109.0046463, 771, 0.0, 129.7080001, 0, 133.4520034, 0, 0, 0, 0, 41.2215728, -103.5891265, 1454.0021667, 0, 9.7263, 23.1936, 
17:2:34, 25059.0048828, 771, 0.0, 129.7080001, 0, 133.4520034, 0, 0, 0, 0, 41.2215728, -103.5891265, 1454.0021667, 0, 9.8080, 23.374, 
17:2:34, 26706.0049438, 771, 0.0, 129.7080001, 0, 133.4520034, 0, 0, 0, 0, 41.2215728, -103.5891265, 1454.0021667, 0, 9.6829, 23.2743, 
17:2:34, 27654.0054321, 771, 0.0, 129.7080001, 0, 133.4520034, 0, 0, 0, 0, 41.2215728, -103.5891265, 1454.0021667, 0, 9.8080, 23.1936, 
17:2:34, 28600.0054321, 771, 0.0, 129.7080001, 0, 133.4520034, 0, 0, 0, 0, 41.2215728, -103.5891265, 1454.0021667, 0, 9.6829, 23.1936,  GPS lost
17:2:45, 29552.0058898, 1121, 0.0, 124.9560012, 0, 131.7600021, 0, 0, 0, 0, 41.2215881, -103.5922775, 1449.3432311, 0, 9.7263, 23.1936, 
17:2:45, 30507.0058898, 1312, 0.0, 124.3800048, 0, 130.8960037, 0, 0, 0, 0, 41.2215919, -103.5939941, 1446.8852233, 0, 9.7263, 23.374, 
17:2:46, 31453.0060729, 1348, 0.0, 124.0559997, 0, 130.7520065, 0, 0, 0, 0, 41.2215919, -103.5943145, 1446.5312194, 0, 9.7263, 23.374, 
17:2:48, 32415.0062561, 1424, 0.0, 121.5719985, 0, 130.3920059, 0, 0, 0, 0, 41.2215919, -103.5950012, 1445.8721618, 0, 9.7263, 23.374, 
17:2:49, 33361.0063781, 1474, 0.0, 120.5279998, 0, 130.1760024, 0, 0, 0, 0, 41.2215919, -103.5954513, 1445.5011901, 0, 9.7263, 23.374, 
17:2:50, 34308.0066223, 1512, 0.0, 119.736, 0, 129.9959945, 0, 0, 0, 0, 41.2215881, -103.5957946, 1445.2342224, 0, 9.7263, 23.374, 
17:2:50, 35254.0068511, 1529, 0.0, 119.4120025, 0, 129.9240035, 0, 0, 0, 0, 41.2215881, -103.5959548, 1445.1111755, 0, 9.7263, 23.374, 
17:2:51, 36203.0068511, 1557, 0.0, 118.8360061, 0, 129.7800064, 0, 0, 0, 0, 41.2215881, -103.5961914, 1444.9482116, 0, 9.7263, 23.1936, 
17:2:52, 37150.0073318, 1599, 0.0, 118.3680038, 0, 129.5999984, 0, 0, 0, 0, 41.2215881, -103.5965805, 1444.5622253, 0, 9.7263, 23.374, 
