Position,Height,Notes,,Distance Down Course,Pre-Course,Braking,Post-Catch,Elevation,,Course Start,34000
Feet,Feet,,,,,,,,,,
6100,4628.5,,,,,8503.92,,1410.7668,,,
6150,4628.7,,,,,8488.68,,1410.82776,,,
6200,4629,,,,,8473.44,,1410.9192,,,
6250,4629.2,,,,,8458.2,,1410.98016,,,
6300,4629.4,,,,,8442.96,,1411.04112,,,
6350,4629.5,,,,,8427.72,,1411.0716,,,
6400,4629.7,,,,,8412.48,,1411.13256,,,
6450,4629.9,,,,,8397.24,,1411.19352,,,
6500,4630.1,,,,,8382,,1411.25448,,,
6550,4630.3,,,,,8366.76,,1411.31544,,,
6600,4630.5,,,,,8351.52,,1411.3764,,,
6650,4630.7,,,,,8336.28,,1411.43736,,,
6700,4630.9,,,,,8321.04,,1411.49832,,,
6750,4631.1,,,,,8305.8,,1411.55928,,,
6800,4631.3,,,,,8290.56,,1411.62024,,,
6850,4631.5,,,,,8275.32,,1411.6812,,,
6900,4631.7,,,,,8260.08,,1411.74216,,,
6950,4631.9,,,,,8244.84,,1411.80312,,,
7000,4632.1,,,,,8229.6,,1411.86408,,,
7050,4632.3,,,,,8214.36,,1411.92504,,,
7100,4632.5,,,,,8199.12,,1411.986,,,
7150,4632.8,,,,,8183.88,,1412.07744,,,
7200,4633,,,,,8168.64,,1412.1384,,,
7250,4633.2,,,,,8153.4,,1412.19936,,,
7300,4633.5,,,,,8138.16,,1412.2908,,,
7350,4633.8,,,,,8122.92,,1412.38224,,,
7400,4634.1,,,,,8107.68,,1412.47368,,,
7450,4634.4,,,,,8092.44,,1412.56512,,,
7500,4634.8,,,,,8077.2,,1412.68704,,,
7550,4635.2,End of 5 Mile Course,,,,8061.96,,1412.80896,,,
7600,4635.6,,,,8046.72,,,1412.93088,,,
7650,4636,,,,8031.48,,,1413.0528,,,
7700,4636.4,,,,8016.24,,,1413.17472,,,
7750,4636.9,,,,8001,,,1413.32712,,,
7800,4637.3,,,,7985.76,,,1413.44904,,,
7850,4637.7,,,,7970.52,,,1413.57096,,,
7900,4638.1,,,,7955.28,,,1413.69288,,,
7950,4638.4,,,,7940.04,,,1413.78432,,,
8000,4638.7,,,,7924.8,,,1413.87576,,,
8050,4639.1,,,,7909.56,,,1413.99768,,,
8100,4639.4,,,,7894.32,,,1414.08912,,,
8150,4639.7,,,,7879.08,,,1414.18056,,,
8200,4640,,,,7863.84,,,1414.272,,,
8250,4640.4,,,,7848.6,,,1414.39392,,,
8300,4640.7,,,,7833.36,,,1414.48536,,,
8350,4641,,,,7818.12,,,1414.5768,,,
8400,4641.4,,,,7802.88,,,1414.69872,,,
8450,4641.7,,,,7787.64,,,1414.79016,,,
8500,4642.1,,,,7772.4,,,1414.91208,,,
8550,4642.4,,,,7757.16,,,1415.00352,,,
8600,4642.7,,,,7741.92,,,1415.09496,,,
8650,4643,,,,7726.68,,,1415.1864,,,
8700,4643.3,,,,7711.44,,,1415.27784,,,
8750,4643.7,,,,7696.2,,,1415.39976,,,
8800,4644,,,,7680.96,,,1415.4912,,,
8850,4644.4,,,,7665.72,,,1415.61312,,,
8900,4644.8,,,,7650.48,,,1415.73504,,,
8950,4645.1,,,,7635.24,,,1415.82648,,,
9000,4645.4,,,,7620,,,1415.91792,,,
9050,4645.6,,,,7604.76,,,1415.97888,,,
9100,4645.9,,,,7589.52,,,1416.07032,,,
9150,4646.2,,,,7574.28,,,1416.16176,,,
9200,4646.5,,,,7559.04,,,1416.2532,,,
9250,4646.8,,,,7543.8,,,1416.34464,,,
9300,4647.1,,,,7528.56,,,1416.43608,,,
9350,4647.4,,,,7513.32,,,1416.52752,,,
9400,4647.7,,,,7498.08,,,1416.61896,,,
9450,4648,,,,7482.84,,,1416.7104,,,
9500,4648.3,,,,7467.6,,,1416.80184,,,
9550,4648.5,,,,7452.36,,,1416.8628,,,
9600,4648.8,,,,7437.12,,,1416.95424,,,
9650,4649,,,,7421.88,,,1417.0152,,,
9700,4649.2,,,,7406.64,,,1417.07616,,,
9750,4649.4,,,,7391.4,,,1417.13712,,,
9800,4649.6,,,,7376.16,,,1417.19808,,,
